source_file,row_index,title,provider,action,matched_id,notes
scholarships_gemini_corrected.csv,2,Pasig City Regular Academic Scholarship,Pasig City Government,skip,25,exact dedupe_key match
scholarships_gemini_corrected.csv,3,Pasig City Sports Scholarship,Pasig City Government,skip,92,exact dedupe_key match
scholarships_gemini_corrected.csv,4,Pasig City Arts and Design Scholarship,Pasig City Government,skip,26,exact dedupe_key match
scholarships_gemini_corrected.csv,5,Pasig City Out-of-School Learners Scholarship,Pasig City Government,skip,93,exact dedupe_key match
scholarships_gemini_corrected.csv,6,Pasig City Sangguniang Kabataan Endorsed Scholarship,Pasig City Government,skip,94,exact dedupe_key match
scholarships_gemini_corrected.csv,7,Taguig LANI Premier Scholarship,Taguig City Government,skip,27,exact dedupe_key match
scholarships_gemini_corrected.csv,8,Taguig LANI Full Scholarship,Taguig City Government,skip,95,exact dedupe_key match
scholarships_gemini_corrected.csv,9,Taguig LANI Priority Scholarship,Taguig City Government,skip,28,exact dedupe_key match
scholarships_gemini_corrected.csv,10,Taguig LANI Basic Scholarship,Taguig City Government,skip,96,exact dedupe_key match
scholarships_gemini_corrected.csv,11,Taguig LANI LCU and SUC Assistance Scholarship,Taguig City Government,skip,29,exact dedupe_key match
scholarships_gemini_corrected.csv,12,Taguig LANI LEAD Graduate Scholarship,Taguig City Government,skip,97,exact dedupe_key match
scholarships_gemini_corrected.csv,13,Taguig Lifeline Bar and Board Review Assistance,Taguig City Government,skip,30,exact dedupe_key match
scholarships_gemini_corrected.csv,14,Makati City Premier and Specialized School Scholarship,Makati City Government,skip,98,exact dedupe_key match
scholarships_gemini_corrected.csv,15,Makati City SUC and Priority Courses Scholarship,Makati City Government,skip,31,exact dedupe_key match
scholarships_gemini_corrected.csv,16,University of Makati Token Fee Exemption Program,University of Makati (UMak),skip,32,exact dedupe_key match
scholarships_gemini_corrected.csv,17,University of Makati Special Institutional Scholarship,University of Makati (UMak),skip,99,exact dedupe_key match
scholarships_gemini_corrected.csv,18,Valenzuela City Dr. Pio Valenzuela Scholarship Program,Valenzuela City Government,skip,33,exact dedupe_key match
scholarships_gemini_corrected.csv,19,Muntinlupa MOST Academic Scholarship,Muntinlupa Scholarship Division,skip,47,exact dedupe_key match
scholarships_gemini_corrected.csv,20,Muntinlupa CARES Financial Assistance Program,Muntinlupa Scholarship Division,skip,48,exact dedupe_key match
scholarships_gemini_corrected.csv,21,NavotaAs Academic College Scholarship,Navotas City Government,skip,34,exact dedupe_key match
