id,title,provider,org,provider_type,scholarship_type,link,deadline,deadline_precision,application_status,editorial_state,is_active,levels,regions,max_income,min_gwa,tuition,allowance_mo,total_value,return_svc,cycle_type,last_verified,confidence_score,completeness
56,AFPEBSO DND CHED PASUC Scholarship,Armed Forces of the Philippines (AFPEBSO),Armed Forces of the Philippines (AFPEBSO),Government,Affiliation,https://www.afp.mil.ph,,exact,needs_verification,needs_review,True,"[""College""]",[],,80,True,,15000,False,annual,2026-08-03,0.06,6
74,Australia Awards Scholarships (Philippines),Australian Government,Australian Government,Government,Merit-based,https://www.australiaawardsphilippines.org/,,exact,needs_verification,needs_review,True,"[""Graduate""]",[],,,True,,,True,annual,2026-08-03,0.06,6
76,Bagong Pilipinas Merit Scholarship Program (BPMSP) - Higher Education Track,Commission on Higher Education,Commission on Higher Education,Government,Merit-based,https://bpms.ched.gov.ph/,,exact,needs_verification,needs_review,True,"[""College""]",[],2000000,95,True,,90000,True,annual,2026-07-09,0,0
54,CHED Medical Scholarship and Return Service (MSRS),Commission on Higher Education,Department of Health,Government,Merit-and-Need,https://legacy.ched.gov.ph/msrs/,,exact,needs_verification,needs_review,True,"[""Graduate""]",[],600000,85,True,15000,250000,True,annual,2026-06-30,0.36,36
1,CHED Merit Scholarship Program,Commission on Higher Education (CHED),Commission on Higher Education (CHED),Government,Merit-and-Need,https://legacy.ched.gov.ph/merit-scholarship/,,estimated,open,published,True,"[""College""]",[],500000,93,True,,120000,False,annual,2026-07-09,0.43,43
119,CHED Scholarship Program for Future Statisticians (Estatistikolar),Commission on Higher Education (CHED),Commission on Higher Education (CHED),Government,Merit-and-Need,https://legacy.ched.gov.ph/estatistikolar/,,,needs_verification,needs_review,True,"[""College""]",[],500000,80,True,,120000,False,annual,2026-08-01,0.28,28
118,Scholarship Grant Program for Children and Dependents of Sugarcane Industry Workers and Small Sugarcane Farmers (SIDA-SGP),Commission on Higher Education (CHED),Commission on Higher Education (CHED),Government,Need,https://legacy.ched.gov.ph/sida-sgp/,,,needs_verification,needs_review,True,"[""College"", ""Graduate""]",[],400000,,False,,110000,True,annual,2026-08-01,0.28,28
117,Scholarship Program for Coconut Farmers and their Families (CoScho),Commission on Higher Education (CHED),Commission on Higher Education (CHED),Government,Need,https://legacy.ched.gov.ph/coscho/,,,needs_verification,needs_review,True,"[""College""]",[],300000,80,True,,70000,True,annual,2026-08-01,0.28,28
120,Scholarships for Instructors' Knowledge Advancement Program (SIKAP),Commission on Higher Education (CHED),Commission on Higher Education (CHED),Government,Merit-based,https://sikap.ched.gov.ph/,,,needs_verification,needs_review,True,"[""Graduate"", ""Faculty""]",[],,,True,,,True,annual,2026-08-01,0.22,22
55,Department of Agriculture ACEF GIAHEP SUC Track,Department of Agriculture,Department of Agriculture,Government,Need,https://da.gov.ph,2026-08-15,exact,needs_verification,needs_review,True,"[""College""]",[],200000,75,True,,30000,False,annual,,0.75,75
17,DepEd SHS Voucher Program,Department of Education,Department of Education,Government,Need,https://deped.gov.ph,,estimated,needs_verification,needs_review,True,"[""High School""]",[],500000,75,True,0,25000,False,,2026-07-26,0,0
133,Accelerated Science and Technology Human Resource Development Program (ASTHRDP),Department of Science and Technology - Science Education Institute (DOST-SEI),Department of Science and Technology - Science Education Institute (DOST-SEI),Government,Merit-based,https://asthrdp.science-scholarships.ph/,,not_announced,open,published,True,"[""Graduate""]",,,,False,,,False,semester,2026-08-03,0.05,5
135,Capacity Building Program in Science and Mathematics Education (CBPSME),Department of Science and Technology - Science Education Institute (DOST-SEI),Department of Science and Technology - Science Education Institute (DOST-SEI),Government,Merit-based,https://cbpsme.science-scholarships.ph/,,not_announced,open,published,True,"[""Graduate""]",,,,False,,,False,semester,2026-08-03,0.05,5
121,DOST-SEI Junior Level Science Scholarship — Merit Track,Department of Science and Technology - Science Education Institute (DOST-SEI),Department of Science and Technology - Science Education Institute (DOST-SEI),Government,Merit-based,https://jlss.science-scholarships.ph/,,,needs_verification,needs_review,True,"[""College""]",[],,83,True,,40000,True,annual,2026-08-01,0.22,22
123,DOST-SEI Junior Level Science Scholarship — RA 10612 Track,Department of Science and Technology - Science Education Institute (DOST-SEI),Department of Science and Technology - Science Education Institute (DOST-SEI),Government,Merit-based,https://jlss.science-scholarships.ph/,,,needs_verification,needs_review,True,"[""College""]",[],,83,False,,,True,annual,2026-08-01,0.22,22
122,DOST-SEI Junior Level Science Scholarship — RA 7687 Track,Department of Science and Technology - Science Education Institute (DOST-SEI),Department of Science and Technology - Science Education Institute (DOST-SEI),Government,Need,https://jlss.science-scholarships.ph/,,,needs_verification,needs_review,True,"[""College""]",[],,83,False,,,True,annual,2026-08-01,0.22,22
134,Engineering Research and Development for Technology (ERDT),Department of Science and Technology - Science Education Institute (DOST-SEI),Department of Science and Technology - Science Education Institute (DOST-SEI),Government,Merit-based,https://erdt.science-scholarships.ph/,,not_announced,open,published,True,"[""Graduate""]",,,,False,,,False,semester,2026-08-03,0.05,5
136,Science and Technology Education for Regional Development (STRAND),Department of Science and Technology - Science Education Institute (DOST-SEI),Department of Science and Technology - Science Education Institute (DOST-SEI),Government,Merit-based,https://www.science-scholarships.ph/,,not_announced,open,published,True,"[""Graduate""]",,,,False,,,False,semester,2026-08-03,0.05,5
3,DOST-SEI Graduate Scholarship Programs (ASTHRDP/CBPSME/ERDT/STRAND),Department of Science and Technology - SEI,Department of Science and Technology - SEI,Government,Merit-and-Need,https://www.science-scholarships.ph/,,estimated,needs_verification,needs_review,True,"[""Graduate""]",[],500000,88,True,15000,200000,True,semester/term (varies by university),2026-07-09,0.12,12
57,DSWD AICS Educational Assistance,Department of Social Welfare and Development,Department of Social Welfare and Development,Government,Need,https://www.dswd.gov.ph,2026-12-31,exact,needs_verification,needs_review,True,"[""Grade 11"", ""Grade 12"", ""College"", ""TVET"", ""Graduate""]",[],150000,,False,,4000,False,rolling,2026-06-30,0.83,83
130,DOST-SEI Junior Level Science Scholarship (JLSS),DOST-SEI,DOST-SEI,Government,Merit-based,https://www.science-scholarships.ph/,,,archived,archived,False,"[""College""]",[],,,True,8000,106000,True,annual,2026-08-01,0.72,72
73,DOST-SEI Undergraduate Scholarships (RA 7687 / Merit),DOST-SEI,DOST-SEI,Government,Merit-and-Need,https://www.science-scholarships.ph/,,exact,open,published,True,"[""College""]",[],400000,92,True,8000,106000,True,annual,2026-07-26,0.13,13
20,ERC Graduate Fellowship,Energy Regulatory Commission,Energy Regulatory Commission,Government,Merit-and-Need,https://erc.gov.ph,,estimated,needs_verification,needs_review,True,"[""Graduate""]","[""NCR""]",500000,88,True,12000,150000,False,,2026-07-08,0.75,75
63,Erasmus Mundus Joint Masters Scholarship,European Union,European Union,Government,Merit-based,https://erasmus-plus.ec.europa.eu,2027-01-15,exact,needs_verification,needs_review,True,"[""Graduate""]",[],,90,True,88000,2200000,False,annual,,0.7,70
91,Chevening Scholarship,FCDO / UK Government,FCDO / UK Government,Government,Merit-based,https://www.chevening.org/apply,2026-10-07,exact,needs_verification,needs_review,True,"[""Graduate""]",[],,,True,,,True,annual,,0.65,65
84,GSIS Educational Subsidy Program (GESP),Government Service Insurance System,Government Service Insurance System,Government,Need,https://www.gsis.gov.ph,,exact,open,published,True,"[""College""]",[],,,False,,10000,False,annual,2026-07-26,0,0
7,GSIS Scholarship Program,Government Service Insurance System,Government Service Insurance System,Government,Affiliation,https://gsis.gov.ph,,estimated,open,published,True,"[""College""]",[],500000,85,True,4000,90000,False,,2026-07-08,0.76,76
78,GSIS Subsidy for STEM Program (GSSP),Government Service Insurance System,Government Service Insurance System,Government,Merit-and-Need,https://www.gsis.gov.ph,,exact,needs_verification,needs_review,True,"[""College""]",[],,90,False,,15000,False,annual,2026-06-30,0.68,68
83,MEXT Scholarship - College of Technology (KOSEN),JICC / Embassy of Japan,JICC / Embassy of Japan,Government,Merit-based,https://www.ph.emb-japan.go.jp/itpr_en/00_000193.html,,exact,open,published,True,"[""College"", ""TVET""]",[],,,True,,,True,annual,2026-07-26,0,0
80,MEXT Scholarship - Research Category,JICC / Embassy of Japan,JICC / Embassy of Japan,Government,Merit-based,https://www.ph.emb-japan.go.jp/itpr_en/00_000193.html,,exact,open,published,True,"[""Graduate""]",[],,,True,,,True,annual,2026-07-26,0,0
82,MEXT Scholarship - Specialized Training Track,JICC / Embassy of Japan,JICC / Embassy of Japan,Government,Merit-based,https://www.ph.emb-japan.go.jp/itpr_en/00_000193.html,,exact,open,published,True,"[""TVET""]",[],,,True,,,True,annual,2026-07-26,0,0
81,MEXT Scholarship - Undergraduate Track,JICC / Embassy of Japan,JICC / Embassy of Japan,Government,Merit-based,https://www.ph.emb-japan.go.jp/itpr_en/00_000193.html,,exact,open,published,True,"[""College""]",[],,,True,,,True,annual,2026-07-26,0,0
52,NCIP Educational Assistance Program Degree Track,National Commission on Indigenous Peoples,National Commission on Indigenous Peoples,Government,Need,https://eais.ncip.gov.ph,2026-08-15,exact,needs_verification,needs_review,True,"[""College""]",[],200000,75,False,,20000,False,annual,2026-08-03,0.06,6
53,NCIP Merit Based Scholarship Program,National Commission on Indigenous Peoples,National Commission on Indigenous Peoples,Government,Merit-based,https://eais.ncip.gov.ph,2026-08-15,exact,needs_verification,needs_review,True,"[""College""]",[],300000,85,True,,30000,False,annual,2026-08-03,0.06,6
64,Global Korea Scholarship (GKS) Graduate,NIIED,NIIED,Government,Merit-based,https://www.studyinkorea.go.kr,,exact,open,published,True,"[""Graduate""]",[],,,True,,,True,annual,2026-07-26,0,0
65,Global Korea Scholarship (GKS) Undergraduate,NIIED,NIIED,Government,Merit-based,https://www.studyinkorea.go.kr,,exact,open,published,True,"[""College""]",[],,,True,,,True,annual,2026-07-26,0,0
87,OWWA Congressional Migrant Workers Scholarship (CMWSP),Overseas Workers Welfare Administration,Overseas Workers Welfare Administration,Government,Merit-and-Need,https://owwa.gov.ph,,exact,needs_verification,needs_review,True,"[""College""]",[],,80,False,,60000,False,annual,2026-08-03,0.06,6
9,OWWA Education and Training Program,Overseas Workers Welfare Administration,Overseas Workers Welfare Administration,Government,Affiliation,https://owwa.gov.ph,,estimated,archived,archived,False,"[""College""]",[],500000,85,True,5000,100000,False,,2026-07-08,0.69,69
85,OWWA Education for Development Scholarship (EDSP),Overseas Workers Welfare Administration,Overseas Workers Welfare Administration,Government,Merit-based,https://owwa.gov.ph,,exact,needs_verification,needs_review,True,"[""College""]",[],,80,False,,60000,False,annual,2026-08-03,0.06,6
86,OWWA OFW Dependent Scholarship Program (ODSP),Overseas Workers Welfare Administration,Overseas Workers Welfare Administration,Government,Need,https://owwa.gov.ph,,exact,needs_verification,needs_review,True,"[""College""]",[],,80,False,,20000,False,annual,2026-08-03,0.06,6
124,OWWA Education and Livelihood Assistance Program (ELAP),Overseas Workers Welfare Administration (OWWA),Overseas Workers Welfare Administration (OWWA),Government,Need,https://owwa.gov.ph/education-and-livelihood-assistance-program-elap/,,,needs_verification,needs_review,True,"[""College"", ""Senior High School""]",[],250000,75,False,,15000,False,annual,2026-08-01,0.28,28
90,Fulbright-PhilSA Graduate Program,PAEF / PhilSA,PAEF / PhilSA,Government,Merit-based,https://apply.iie.org/ffsp2027,,exact,open,published,True,"[""Graduate""]",[],,,True,,,True,annual,2026-07-26,0,0
8,SSS Educational Loan Program,Social Security System,Social Security System,Government,Affiliation,https://sss.gov.ph,,estimated,archived,archived,False,"[""College""]",[],500000,80,True,0,80000,False,,2026-07-08,0.74,74
60,Taiwan ICDF Higher Education Scholarship Program,Taiwan International Cooperation and Development Fund,Taiwan International Cooperation and Development Fund,Government,Merit-based,https://www.icdf.org.tw,,exact,needs_verification,needs_review,True,"[""Graduate""]",[],,85,True,35000,900000,False,annual,2026-07-26,0,0
77,Bagong Pilipinas Merit Scholarship Program (BPMSP) - TVET Track,Technical Education and Skills Development Authority,Technical Education and Skills Development Authority,Government,Merit-based,https://bpms.ched.gov.ph/,,exact,needs_verification,needs_review,True,"[""TVET""]",[],2000000,90,True,,,True,annual,,0.61,61
4,TESDA Scholarship Programs (umbrella),Technical Education and Skills Development Authority,Technical Education and Skills Development Authority,Government,Need,https://tesda.gov.ph,2026-12-31,estimated,archived,archived,False,"[""TVET""]",[],500000,75,True,2000,50000,False,annual,2026-07-26,0,0
113,TESDA Special Training for Employment Program,Technical Education and Skills Development Authority,Technical Education and Skills Development Authority,Government,Need,https://tesda.gov.ph,2026-12-31,rolling,needs_verification,needs_review,True,"[""TVET""]",[],,75,True,3500,22000,False,rolling,2026-08-03,0.28,28
112,TESDA Training for Work Scholarship Program,Technical Education and Skills Development Authority,Technical Education and Skills Development Authority,Government,Need,https://tesda.gov.ph,2026-12-31,rolling,needs_verification,needs_review,True,"[""TVET""]",[],,75,True,3500,15000,False,rolling,2026-08-03,0.28,28
67,TESDA Private Education Student Financial Assistance,TESDA,TESDA,Government,Need,https://www.tesda.gov.ph,,exact,needs_verification,needs_review,True,"[""TVET""]",[],,,True,,,False,rolling,2026-07-26,0,0
66,CHED-UniFAST Tertiary Education Subsidy (TES),UniFAST / CHED,UniFAST / CHED,Government,Need,https://unifast.gov.ph/,,exact,needs_verification,needs_review,True,"[""College""]",[],,75,True,,40000,False,annual,2026-08-03,0.12,12
5,Tulong Dunong Program (TDP),Unified Student Financial Assistance System (UniFAST),Commission on Higher Education,Government,Need,https://unifast.gov.ph/tes.html,,institution_dependent,open,published,True,"[""College""]",[],400000,80,True,,15000,False,annual,2026-07-09,0.27,27
40,Ateneo de Manila University Financial Aid Grant,Ateneo de Manila University,Ateneo de Manila University,Institutional,Need,https://www.ateneo.edu,2026-11-15,exact,needs_verification,needs_review,True,"[""College""]","[""NCR""]",500000,78,True,3000,180000,False,annual,2026-06-30,0.89,89
41,Ateneo Directors List Scholarship,Ateneo de Manila University,Ateneo de Manila University,Institutional,Merit-based,https://www.ateneo.edu,2026-11-15,exact,needs_verification,needs_review,True,"[""College""]",[],,83,False,,100000,False,annual,2026-06-30,0.78,78
