id,field,iskconnect_value,official_value,action,change_reason,closure_type,confidence,source_url,evidence_snippet,official_last_updated,announcement_date,verified_at
1,application_open_date,2026-03-01,,update,annual_cycle_update,closed_for_this_cycle,cannot_verify,https://legacy.ched.gov.ph/merit-scholarship/,"No AY 2026-2027 CMSP call published; clear unsupported placeholder",,,2026-07-09
1,application_deadline,2026-06-30,,update,annual_cycle_update,closed_for_this_cycle,cannot_verify,https://legacy.ched.gov.ph/merit-scholarship/,"No AY 2026-2027 CMSP call published; clear unsupported placeholder",,,2026-07-09
1,last_open_date,2025-03-01,2025-05-20,update,annual_cycle_update,closed_for_this_cycle,verified,https://caraga.ched.gov.ph/ched-scholarship-program-csp/,"Regional filing opened May 20, 2025",,2025-05-20,2026-07-09
1,last_close_date,2025-06-30,2025-06-20,update,annual_cycle_update,closed_for_this_cycle,verified,https://legacy.ched.gov.ph/merit-scholarship/,"National deadline June 20, 2025 for AY 2025-2026",,2025-06-20,2026-07-09
1,academic_year_target,2026-2027,,update,annual_cycle_update,closed_for_this_cycle,cannot_verify,https://legacy.ched.gov.ph/merit-scholarship/,"Next AY call not published; clear unsupported target",,,2026-07-09
2,application_open_date,2026-02-01,,update,annual_cycle_update,closed_for_this_cycle,cannot_verify,https://www.facebook.com/DOST.SEI/posts/1312658064226102/,"Clear invalid placeholder; next cycle not announced",,,2026-07-09
2,application_deadline,2026-04-15,,update,annual_cycle_update,closed_for_this_cycle,cannot_verify,https://www.facebook.com/DOST.SEI/posts/1312658064226102/,"Clear invalid placeholder; next cycle not announced",,,2026-07-09
2,application_status,expected_reopen,closed_for_this_cycle,update,annual_cycle_update,closed_for_this_cycle,verified,https://www.facebook.com/DOST.SEI/posts/1312658064226102/,"2026 UG intake closed Dec 5, 2025; exam Feb 2026 completed",,2025-12-05,2026-07-09
2,last_open_date,2025-02-01,2025-10-20,update,annual_cycle_update,closed_for_this_cycle,verified,https://www.facebook.com/DOST.SEI/posts/1312658064226102/,"2026 DOST-SEI UG scholarship opened Oct 20, 2025",,2025-10-20,2026-07-09
2,last_close_date,2025-04-15,2025-12-05,update,annual_cycle_update,closed_for_this_cycle,verified,https://www.facebook.com/DOST.SEI/posts/1312658064226102/,"Deadline extended to Dec 5, 2025",,2025-12-05,2026-07-09
