id,field,iskconnect_value,official_value,action,change_reason,closure_type,confidence,source_url,evidence_snippet,official_last_updated,announcement_date,verified_at
1,title,CHED Merit Scholarship Program,CHED Merit Scholarship Program (CMSP),confirm_unchanged,,,verified,https://legacy.ched.gov.ph/merit-scholarship/,"Official page title: CHED Merit Scholarship Program (CMSP)",,,2026-07-09
1,provider,Commission on Higher Education (CHED),Commission on Higher Education (CHED),confirm_unchanged,,,verified,https://legacy.ched.gov.ph/merit-scholarship/,"Program administered by CHED via regional offices",,,2026-07-09
1,primary_link,https://ched.gov.ph/merit-scholarship,https://legacy.ched.gov.ph/merit-scholarship/,update,website_redesign,,verified,https://legacy.ched.gov.ph/merit-scholarship/,"Active official program page is on legacy.ched.gov.ph; stored URL path not resolving in link checker",,,2026-07-09
1,link_status,broken,ok,update,website_redesign,,verified,https://legacy.ched.gov.ph/merit-scholarship/,"Official page loads at legacy domain",,,2026-07-09
1,data_status,broken_link,verified,update,website_redesign,,verified,https://legacy.ched.gov.ph/merit-scholarship/,"Program-specific official page confirmed",,,2026-07-09
1,min_gwa_normalized,90,93,update,policy_revision,,verified,https://legacy.ched.gov.ph/merit-scholarship/,"Minimum GWA of 93% or its equivalent in Grade 12 report card",,,2026-07-09
1,max_income_threshold,400000,500000,update,policy_revision,,verified,https://legacy.ched.gov.ph/merit-scholarship/,"Combined annual gross income should not exceed PhP500,000.00",,,2026-07-09
1,benefit_total_value,80000,120000,update,policy_revision,,verified,https://legacy.ched.gov.ph/merit-scholarship/,"Full PESFA private HEI annual package totals PhP120,000 (TOSF 40k + stipend 70k + book/connectivity 10k)",,,2026-07-09
1,benefit_allowance_monthly,3000,,update,policy_revision,,partially_verified,https://legacy.ched.gov.ph/merit-scholarship/,"Stipend released per semester (e.g. PhP35,000/sem Full PESFA); not a flat PhP3,000/month field",,,2026-07-09
1,has_qualifying_exam,true,false,update,policy_revision,,verified,https://legacy.ched.gov.ph/merit-scholarship/,"Application via CHED Regional Office online submission; no qualifying exam listed in official CMSP guidelines",,,2026-07-09
1,has_interview,true,,flag_review,unknown,,cannot_verify,https://legacy.ched.gov.ph/merit-scholarship/,"Interview requirement not stated on official CMSP page",,,2026-07-09
1,has_essay_requirement,true,,flag_review,unknown,,cannot_verify,https://legacy.ched.gov.ph/merit-scholarship/,"Essay requirement not stated on official CMSP page",,,2026-07-09
1,application_status,expected_reopen,expected_reopen,confirm_unchanged,annual_cycle_update,closed_for_this_cycle,verified,https://legacy.ched.gov.ph/merit-scholarship/,"AY 2025-2026 call CLOSED; deadline June 20, 2025; recurring annual program",2025-06-20,2025-05-20,2026-07-09
1,application_open_date,2026-03-01,,flag_review,annual_cycle_update,closed_for_this_cycle,cannot_verify,https://legacy.ched.gov.ph/merit-scholarship/,"Next AY 2026-2027 call dates not yet published on official page as of verification",,,2026-07-09
1,application_deadline,2026-06-30,2025-06-20,update,annual_cycle_update,closed_for_this_cycle,verified,https://legacy.ched.gov.ph/merit-scholarship/,"Last published deadline: June 20, 2025 for AY 2025-2026",,2025-06-20,2026-07-09
1,scholarship_type,Merit-and-Need,Merit-and-Need,confirm_unchanged,,,verified,https://legacy.ched.gov.ph/merit-scholarship/,"Merit-based with income ceiling and equity group priority points",,,2026-07-09
5,title,CHED-Tulong Dulong Program,Tulong Dunong Program (TDP),update,typographical_correction,,verified,https://unifast.gov.ph/tes.html,"Official name: Tulong Dunong Program (TDP); administered under UniFAST TES",,,2026-07-09
5,provider,Commission on Higher Education,Unified Student Financial Assistance System (UniFAST),update,policy_revision,,verified,https://unifast.gov.ph/tes.html,"TDP is a subsidy under the Tertiary Education Subsidy Program implemented by UniFAST",,,2026-07-09
5,primary_link,https://ched.gov.ph,https://unifast.gov.ph/tes.html,update,application_portal_migrated,,verified,https://unifast.gov.ph/tes.html,"Official TDP guidelines published on UniFAST TES page; ched.gov.ph homepage is not program-specific",,,2026-07-09
5,link_status,broken,ok,update,application_portal_migrated,,verified,https://unifast.gov.ph/tes.html,"UniFAST TES page accessible",,,2026-07-09
5,data_status,broken_link,verified,update,application_portal_migrated,,verified,https://unifast.gov.ph/tes.html,"Program-specific official source confirmed",,,2026-07-09
5,description,Financial assistance for students from low-income families.,"Subsidy under TES for first undergraduate degree; PhP7,500 per regular semester; income ceiling PhP400,000; cannot hold other national StuFAPs including TES and CHED CSPs.",update,policy_revision,,verified,https://unifast.gov.ph/tes.html,"TDP aims to support partial cost of tertiary education; PhP7,500 per regular semester subject to prioritization and availability of funds",,,2026-07-09
5,max_income_threshold,400000,400000,confirm_unchanged,,,verified,https://unifast.gov.ph/tes.html,"Combined household gross income not exceeding P400,000.00",,,2026-07-09
5,min_gwa_normalized,80,,flag_review,unknown,,cannot_verify,https://unifast.gov.ph/tes.html,"Official TDP eligibility does not specify a minimum GWA",,,2026-07-09
5,benefit_total_value,60000,15000,update,policy_revision,,verified,https://unifast.gov.ph/tes.html,"PhP7,500 per regular semester = PhP15,000 per academic year (two semesters)",,,2026-07-09
5,benefit_allowance_monthly,2500,,update,policy_revision,,verified,https://unifast.gov.ph/tes.html,"TDP pays fixed per-semester grant; no monthly living allowance component",,,2026-07-09
5,application_status,open,expected_reopen,update,annual_cycle_update,closed_for_this_cycle,partially_verified,https://unifast.gov.ph/tes.html,"Applications coordinated through HEI UniFAST focal person; subject to prioritization and fund availability",,,2026-07-09
5,required_documents,"ITR|BIRTH_CERT|GOOD_MORAL|4PS_CERT","TDP-TES Application Form|COE/COR|Certificate of Indigency",update,policy_revision,,verified,https://unifast.gov.ph/tes.html,"Documentary requirements: TDP-TES Application Form; COE/COR; Certificate of Indigency from Punong Barangay",,,2026-07-09
6,title,UniFAST Tertiary Education Subsidy,UniFAST Tertiary Education Subsidy (TES),confirm_unchanged,,,verified,https://unifast.gov.ph/tes.html,"Official program name: Tertiary Education Subsidy (TES)",,,2026-07-09
6,primary_link,https://unifast.gov.ph,https://unifast.gov.ph/tes.html,update,website_redesign,,verified,https://unifast.gov.ph/tes.html,"Program-specific page on UniFAST domain",,,2026-07-09
6,description,Tertiary education subsidy for eligible Filipino students.,"Grant-in-aid under RA 10931 for priority students in SUCs, CHED-recognized LUCs, and eligible private HEIs; amounts vary by institution type and prioritization.",update,policy_revision,,verified,https://unifast.gov.ph/tes.html,"Grant-in-aid program supporting full or partial cost of tertiary education of priority students",,,2026-07-09
6,benefit_total_value,40000,"20000 (SUC/LUC) / 27000 (Private HEI) per AY",update,policy_revision,,verified,https://unifast.gov.ph/tes.html,"SUC/LUC: PhP20,000 per AY; Private HEI: PhP27,000 per AY; subject to prioritization",,,2026-07-09
6,benefit_allowance_monthly,2000,,update,policy_revision,,verified,https://unifast.gov.ph/tes.html,"TES is annual/semestral lump-sum grant; not structured as monthly allowance",,,2026-07-09
6,max_income_threshold,,,confirm_unchanged,,,verified,https://unifast.gov.ph/tes.html,"Prioritization by Listahanan, 4Ps, and remaining poor students; no fixed income ceiling in TES guidelines",,,2026-07-09
6,min_gwa_normalized,75,,flag_review,unknown,,cannot_verify,https://unifast.gov.ph/tes.html,"TES eligibility requires meeting HEI admission and retention policies; no national GWA floor published",,,2026-07-09
6,cycle_type,,annual,update,policy_revision,,verified,https://unifast.gov.ph/assets/pdf/infgrfx/TES2025.pdf,"Benefits stated per academic year / semester under annual cycle",,,2026-07-09
6,application_status,open,expected_reopen,update,annual_cycle_update,closed_for_this_cycle,partially_verified,https://unifast.gov.ph/tes.html,"Coordinate with UniFAST Focal Person of HEI when Call for TES Application is issued",,,2026-07-09
19,title,CHED K-12 Transition Scholarship,CHED K to 12 Transition Program – Scholarships for Graduate Studies (Local),update,provider_renamed_program,permanently_discontinued,verified,https://legacy.ched.gov.ph/k-12-project-management-unit/,"K to 12 Transition Program provided graduate study scholarships for HEI personnel during transition period SY 2016-2017 to 2020-2021",,,2026-07-09
19,description,Graduate scholarship for educators and professionals.,"Transition-era scholarship for deloaded HEI teaching/non-teaching personnel to pursue master's or doctorate degrees; nominations for AY 2017-2018 closed.",update,program_discontinued,permanently_discontinued,verified,https://chedk12.wordpress.com/sgs/,"Nominations for A.Y. 2017-2018 are now closed",,,2026-07-09
19,primary_link,https://ched.gov.ph,https://legacy.ched.gov.ph/k-12-project-management-unit/,update,program_discontinued,permanently_discontinued,verified,https://legacy.ched.gov.ph/k-12-project-management-unit/,"Official K to 12 Transition Program page on CHED legacy site",,,2026-07-09
19,is_active,true,false,archive,program_discontinued,permanently_discontinued,verified,https://chedk12.wordpress.com/sgs/,"Program limited to K-12 transition period; new nominations closed since AY 2017-2018",,,2026-07-09
19,application_status,previous_cycle,permanently_discontinued,archive,program_discontinued,permanently_discontinued,verified,https://legacy.ched.gov.ph/k-12-project-management-unit/,"Transition period ended SY 2020-2021; graduate scholarship component no longer accepting applications",,,2026-07-09
19,data_status,broken_link,verified,update,program_discontinued,permanently_discontinued,verified,https://legacy.ched.gov.ph/k-12-project-management-unit/,"Historical reference page available; program discontinued not broken",,,2026-07-09
76,title,Bagong Pilipinas Merit Scholarship Program (BPMSP) - Higher Education Track,Bagong Pilipinas Merit Scholarship Program (BPMSP) - Higher Education Track,confirm_unchanged,,,verified,https://bpms.ched.gov.ph/,"Official BPMSP portal and JMC No. 1 Series of 2026",,,2026-07-09
76,primary_link,https://bpms.ched.gov.ph/,https://bpms.ched.gov.ph/,confirm_unchanged,,,verified,https://bpms.ched.gov.ph/,"Official application portal for BPMSP",,,2026-07-09
76,link_status,broken,ok,update,website_redesign,,verified,https://bpms.ched.gov.ph/,"Portal responds; prior broken flag likely transient or checker configuration",,,2026-07-09
76,data_status,broken_link,verified,update,website_redesign,,verified,https://bpms.ched.gov.ph/,"Official program portal confirmed",,,2026-07-09
76,min_gwa_normalized,95,95,confirm_unchanged,,,verified,https://caraga.ched.gov.ph/wp-content/uploads/2026/05/BPMSP_FAQ_0428.pdf,"Top 5 of graduating class OR minimum GWA of 95%",,,2026-07-09
76,max_income_threshold,2000000,2000000,confirm_unchanged,,,verified,https://caraga.ched.gov.ph/wp-content/uploads/2026/05/BPMSP_FAQ_0428.pdf,"Combined annual gross income not exceeding PhP 2,000,000",,,2026-07-09
76,benefit_total_value,90000,90000,confirm_unchanged,,,partially_verified,https://caraga.ched.gov.ph/wp-content/uploads/2026/05/BPMSP_FAQ_0428.pdf,"Private HEI: max PhP45,000 TOSF + PhP45,000 stipend per AY; SUC/LUC tuition covered under RA 10931 with separate stipend/book allowances",,,2026-07-09
76,has_return_service,true,true,confirm_unchanged,,,verified,https://pia.gov.ph/news/bagong-pilipinas-scholarship-offered-for-top-incoming-college-students/,"BPMSP includes return service obligation per implementing guidelines",,,2026-07-09
76,application_status,previous_cycle,expected_reopen,update,annual_cycle_update,closed_for_this_cycle,partially_verified,https://caraga.ched.gov.ph/wp-content/uploads/2026/05/BPMSP_FAQ_0428.pdf,"GAA FY 2026 funded program; applications via bpms.ched.gov.ph portal; specific AY 2026-2027 window not fully published in FAQ excerpt",,,2026-07-09
