id,field,iskconnect_value,official_value,action,change_reason,closure_type,confidence,source_url,evidence_snippet,official_last_updated,announcement_date,verified_at
2,title,DOST-SEI Undergraduate Scholarship,DOST-SEI Science and Technology Undergraduate Scholarships,confirm_unchanged,,,verified,https://www.science-scholarships.ph/,"Official portal: S&T Undergraduate Scholarships covering Merit and RA 7687 tracks",,,2026-07-09
2,provider,Department of Science and Technology - SEI,Department of Science and Technology - Science Education Institute (DOST-SEI),confirm_unchanged,,,verified,https://www.science-scholarships.ph/,"Administered by DOST-SEI",,,2026-07-09
2,primary_link,https://ugs.science-scholarships.ph,https://ugrad.science-scholarships.ph,update,application_portal_migrated,,verified,https://www.science-scholarships.ph/,"Application through 2025 DOST-SEI Undergraduate E-Scholarships Application System at ugrad.science-scholarships.ph",,,2026-07-09
2,link_status,broken,ok,update,application_portal_migrated,,verified,https://ugrad.science-scholarships.ph/,"Correct e-application subdomain confirmed on official site",,,2026-07-09
2,data_status,broken_link,verified,update,application_portal_migrated,,verified,https://www.science-scholarships.ph/,"Official portal and 2026 application forms available",,,2026-07-09
2,description,STEM scholarship for Science Technology Engineering and Mathematics courses.,"Undergraduate S&T scholarships (Merit and RA 7687) for priority STEM programs at approved HEIs; includes school fees learning allowance living allowance and return service.",update,policy_revision,,verified,https://www.science-scholarships.ph/,"Program aims to develop S&T human resources; Merit and RA 7687 tracks listed on official portal",,,2026-07-09
2,min_gwa_normalized,92,,flag_review,unknown,,cannot_verify,https://www.science-scholarships.ph/,"Official landing page does not publish a single national GWA cutoff; qualification via exam and priority programs",,,2026-07-09
2,max_income_threshold,400000,,flag_review,policy_revision,,partially_verified,https://www.science-scholarships.ph/,"Merit track has no income ceiling; RA 7687 uses socio-economic status indicators not a flat PhP400,000 field",,,2026-07-09
2,benefit_total_value,120000,"School fees PhP40,000/AY + learning materials PhP10,000/AY + living allowance PhP8,000/month + other allowances",update,policy_revision,,verified,https://www.science-scholarships.ph/,"Scholarship Privileges table: PHP 40,000/year school fees; PHP 10,000/year learning materials; PHP 8,000/month living allowance",,,2026-07-09
2,benefit_allowance_monthly,7000,8000,update,policy_revision,,verified,https://www.science-scholarships.ph/,"Monthly Living Allowance: PHP 8,000/month",,,2026-07-09
2,has_qualifying_exam,true,true,confirm_unchanged,,,verified,https://www.science-scholarships.ph/,"Schedule of Qualifying Examination published (e.g. April 5-6, 2025 for recent cycle)",,2025-04-05,2026-07-09
2,has_return_service,true,true,confirm_unchanged,,,verified,https://www.science-scholarships.ph/pdf/forms/2026%20DOST-SEI%20S&T%20Undergraduate%20Application%20Form%20J.pdf,"Signed declaration includes willingness to refund benefits if misinformation discovered; return service component of DOST-SEI scholarship",,,2026-07-09
2,application_status,expected_reopen,expected_reopen,confirm_unchanged,annual_cycle_update,closed_for_this_cycle,verified,https://www.science-scholarships.ph/,"2026 application forms published; most recent full cycle closed Dec 23, 2024 for AY 2025-2026 intake",,2024-12-23,2026-07-09
2,application_open_date,2026-02-01,2024-10-13,update,annual_cycle_update,closed_for_this_cycle,verified,https://www.science-scholarships.ph/,"Start of Online Application Period: 13 OCT 2024 (recent published cycle)",,2024-10-13,2026-07-09
2,application_deadline,2026-04-15,2024-12-23,update,annual_cycle_update,closed_for_this_cycle,verified,https://www.science-scholarships.ph/,"Last Day of Uploading of Requirements and Submission of Application: 23 DEC 2024",,2024-12-23,2026-07-09
2,scholarship_type,Merit-and-Need,Merit-and-Need,confirm_unchanged,,,verified,https://www.science-scholarships.ph/,"Covers both Merit (RA 2067) and RA 7687 need-based tracks",,,2026-07-09
2,eligible_courses_specific,"BS Computer Science|BS Information Technology|BS Mathematics|BS Physics|BS Chemistry",See official Priority S&T Programs list (100+ programs),update,policy_revision,,verified,https://www.science-scholarships.ph/,"Extensive priority program list on official portal beyond five stored courses",,,2026-07-09
3,title,DOST-SEI Graduate Scholarship,DOST-SEI Graduate Scholarship Programs (ASTHRDP/CBPSME/ERDT/STRAND),update,provider_renamed_program,,verified,https://www.science-scholarships.ph/,"Graduate offerings are multiple distinct programs not a single generic scholarship",,,2026-07-09
3,provider,Department of Science and Technology - SEI,Department of Science and Technology - Science Education Institute (DOST-SEI),confirm_unchanged,,,verified,https://www.sei.dost.gov.ph/,"DOST-SEI administers graduate scholarship consortia",,,2026-07-09
3,primary_link,https://science-scholarships.ph,https://www.science-scholarships.ph/,confirm_unchanged,,,verified,https://www.science-scholarships.ph/,"Official science-scholarships.ph portal hosts graduate program links",,,2026-07-09
