id,field,iskconnect_value,official_value,action,change_reason,closure_type,confidence,source_url,evidence_snippet,official_last_updated,announcement_date,verified_at
21,link_status,broken,ok,update,automated_head_check,,partially_verified,https://pasigcity.gov.ph,HEAD check passed on 2026-07-26,,,2026-07-26
22,link_status,ok,ok,confirm_unchanged,,,partially_verified,https://quezoncity.gov.ph,HEAD check passed on 2026-07-26,,,2026-07-26
25,link_status,broken,ok,update,automated_head_check,,partially_verified,https://scholars.pasigcity.gov.ph,HEAD check passed on 2026-07-26,,,2026-07-26
26,link_status,broken,ok,update,automated_head_check,,partially_verified,https://scholars.pasigcity.gov.ph,HEAD check passed on 2026-07-26,,,2026-07-26
27,link_status,ok,ok,confirm_unchanged,,,partially_verified,https://tcu.edu.ph/lani-scholarship,HEAD check passed on 2026-07-26,,,2026-07-26
28,link_status,ok,ok,confirm_unchanged,,,partially_verified,https://tcu.edu.ph/lani-scholarship,HEAD check passed on 2026-07-26,,,2026-07-26
29,link_status,ok,ok,confirm_unchanged,,,partially_verified,https://tcu.edu.ph/lani-scholarship,HEAD check passed on 2026-07-26,,,2026-07-26
31,link_status,ok,ok,confirm_unchanged,,,partially_verified,https://www.makati.gov.ph,HEAD check passed on 2026-07-26,,,2026-07-26
33,link_status,ok,ok,confirm_unchanged,,,partially_verified,https://valenzuela.gov.ph/drpioscholarship,HEAD check passed on 2026-07-26,,,2026-07-26
34,link_status,ok,ok,confirm_unchanged,,,partially_verified,https://www.navotas.gov.ph,HEAD check passed on 2026-07-26,,,2026-07-26
48,link_status,broken,broken,confirm_unchanged,,,partially_verified,https://www.muntinlupacity.gov.ph,HEAD check failed (http_403) on 2026-07-26,,,2026-07-26
50,link_status,broken,broken,confirm_unchanged,,,partially_verified,https://www.paranaquecity.gov.ph,HEAD check failed (url_error:[Errno 11001] getaddrinfo failed) on 2026-07-26,,,2026-07-26
